ID_Observasi,Periode,Tahun,Triwulan,Urutan_Waktu,Kode_Provinsi,Provinsi,Wilayah,Jumlah_Penduduk,Urbanisasi_pct,Kemiskinan_pct,Penetrasi_Internet_pct,Literasi_Keuangan_pct,Rekening_per_1000_Penduduk,Pertumbuhan_Rekening_qoq_pct,Titik_Layanan_per_100rb_Penduduk,ATM_per_100rb_Penduduk,Kantor_Bank_per_100rb_Penduduk,Kredit_terhadap_PDRB_pct,DPK_terhadap_PDRB_pct,Transaksi_Digital_pct,Pertumbuhan_Transaksi_Digital_qoq_pct,Pinjaman_Fintech_per_Kapita_juta,NPL_pct,Shock_Ekonomi,Dimensi_Ketersediaan,Dimensi_Penggunaan,Dimensi_Kedalaman,IKAD_Simulasi,Kategori_IKAD,IKAD_Lag_1,IKAD_Lag_4,IKAD_Rata_Rata_4Q,Pertumbuhan_IKAD_qoq_pct,Pertumbuhan_IKAD_yoy_pct,IKAD_Berikutnya,Kategori_IKAD_Berikutnya,Perubahan_IKAD_Berikutnya,Target_Peningkatan_IKAD,Status_Data
11-1993Q1,1993-Q1,1993,Q1,1,11,Aceh,Sumatera,2311675,49.69,15.33,6.39,35.34,152.54,1.31,4.21,18.94,4.66,10.5,14.85,3.11,4.393,0.256,5.45,Normal,1.5649,1.4931,1.661,1.6046,Sedang,,,1.6046,,,1.531,Rendah,-0.0736,0,DATA SIMULASI UNTUK PELATIHAN — BUKAN NILAI RESMI OJK
11-1993Q2,1993-Q2,1993,Q2,2,11,Aceh,Sumatera,2323936,49.73,,6.81,35.6,152.87,0.214,4.05,18.91,4.06,10.4,15.59,3.2,2.831,0.26,,Normal,1.6855,1.4045,1.5123,1.531,Rendah,1.6046,,1.5678,-4.5868,,1.5479,Rendah,0.0169,1,DATA SIMULASI UNTUK PELATIHAN — BUKAN NILAI RESMI OJK
11-1993Q3,1993-Q3,1993,Q3,3,11,Aceh,Sumatera,2327313,49.59,15.26,7.24,35.43,155.98,2.033,4.16,17.88,4.46,11.01,16.05,3.21,0.422,0.272,5.36,Normal,1.5068,1.4723,1.3584,1.5479,Rendah,1.531,,1.5612,1.1039,,1.5411,Rendah,-0.0068,0,DATA SIMULASI UNTUK PELATIHAN — BUKAN NILAI RESMI OJK
11-1993Q4,1993-Q4,1993,Q4,4,11,Aceh,Sumatera,2333072,49.65,15.18,7.23,35.1,158.49,1.61,4.14,19.77,3.59,10.91,16.68,3.41,6.379,0.265,5.54,Normal,1.5968,1.6108,1.4442,1.5411,Rendah,1.5479,,1.5562,-0.4393,,1.5582,Rendah,0.0171,1,DATA SIMULASI UNTUK PELATIHAN — BUKAN NILAI RESMI OJK
11-1994Q1,1994-Q1,1994,Q1,5,11,Aceh,SUMATERA,2341054,49.69,15.32,7.7,,167.31,5.564,4.05,19.63,4.15,11.6,16.99,4.37,28.091,0.251,5.47,Normal,1.6076,1.3823,1.5917,1.5582,Rendah,1.5411,1.6046,1.5446,1.1096,-2.8917,1.5773,Rendah,0.0191,1,DATA SIMULASI UNTUK PELATIHAN — BUKAN NILAI RESMI OJK
11-1994Q2,1994-Q2,1994,Q2,6,11,Aceh,Sumatera,2354011,49.59,15.1,7.58,35.4,168.03,0.432,4.06,17.32,4.02,11.88,16.7,4.62,5.629,0.282,5.47,Normal,1.8344,1.566,1.5662,1.5773,Rendah,1.5582,1.531,1.5561,1.2258,3.0242,1.588,Rendah,0.0107,1,DATA SIMULASI UNTUK PELATIHAN — BUKAN NILAI RESMI OJK
11-1994Q3,1994-Q3,1994,Q3,7,11,Aceh,sumatera,2359025,49.57,15.29,7.74,35.52,171.28,1.935,4.13,18.4,4.25,11.68,16.53,4.82,4.326,0.393,5.44,Normal,1.5716,1.4459,1.5374,1.588,Rendah,1.5773,1.5479,1.5661,0.6784,2.5906,1.471,Rendah,-0.117,0,DATA SIMULASI UNTUK PELATIHAN — BUKAN NILAI RESMI OJK
11-1994Q4,1994-Q4,1994,Q4,8,11,Aceh,Sumatera,2365780,49.71,15.72,8.02,35.66,171.13,-0.088,4.14,18.03,4.01,11.16,17.13,6.08,26.092,0.398,5.38,Normal,1.7471,1.392,1.4031,1.471,Rendah,1.588,1.5411,1.5486,-7.3678,-4.5487,1.5436,Rendah,0.0726,1,DATA SIMULASI UNTUK PELATIHAN — BUKAN NILAI RESMI OJK
11-1995Q1,1995-Q1,1995,,9,11,Aceh,Sumatera,2369194,,16.09,8.22,35.55,180.66,5.571,4.0,17.15,4.0,11.66,17.36,6.71,10.364,0.452,5.6,Normal,1.8488,1.4586,1.3818,1.5436,Rendah,1.471,1.5582,1.545,4.9354,-0.937,1.5919,Rendah,0.0483,1,DATA SIMULASI UNTUK PELATIHAN — BUKAN NILAI RESMI OJK
11-1995Q2,1995-Q2,1995,Q2,10,11,Aceh,Sumatera,2378479,49.95,16.01,8.83,35.9,170.7,-5.514,3.93,17.55,4.44,11.1,18.11,7.55,12.652,0.421,5.53,Normal,1.7622,1.4732,1.4371,1.5919,Rendah,1.5436,1.5773,1.5486,3.129,0.9256,1.6437,Sedang,0.0518,1,DATA SIMULASI UNTUK PELATIHAN — BUKAN NILAI RESMI OJK
